Date,Title,URL,Has Alignment,Turkey,North Macedonia,Montenegro,Serbia,Albania,Ukraine,Moldova,Bosnia and Herzegovina,Georgia,Iceland,Liechtenstein,Norway,Armenia,Azerbaijan,Andorra,Monaco,San Marino,UK
2025-10-29,EU Statement – UN General Assembly 4th Committee: Peaceful uses of outer space,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-4th-committee-peaceful-uses-outer-space-1_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-29,Déclaration de l’UE - Assemblée Générale des Nations Unies 3e Commission : Dialogue interactif sur la République centrafricaine,https://www.eeas.europa.eu/delegations/un-new-york/d%C3%A9claration-de-l%E2%80%99ue-assembl%C3%A9e-g%C3%A9n%C3%A9rale-des-nations-unies-3e-commission-dialogue-interactif-sur-la_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-29,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on human rights in Somalia,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-human-rights-somalia-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-29,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on human rights in the DPRK,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-human-rights-dprk_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-25,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on Freedom of Religion or Belief,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-freedom-religion-or-belief-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-25,EU Statement – UN General Assembly 3rd Committee: Interactive dialoue on human rights and transnational corporations,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialoue-human-rights-and-transnational_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-28,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on human rights in Myanmar,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-human-rights-myanmar_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-27,EU Statement – UN General Assembly 1st Committee: Regional Disarmament and Security,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-1st-committee-regional-disarmament-and-security-2_en,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False
2025-10-23,"EU Statement -- UN Security Council: Open Debate on the situation in the Middle East, including the Palestinian question",https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-un-security-council-open-debate-situation-middle-east-including-palestinian-question-0_en,True,False,True,True,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False
2025-10-24,UN Security Council Open Debate: Maintenance of International Peace and Security –  The United Nations Organization - Looking into the future,https://www.eeas.europa.eu/delegations/un-new-york/un-security-council-open-debate-maintenance-international-peace-and-security-%E2%80%93-united-nations_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
